Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2022-05-15,UAL,1985,EWR,BDA,C,C133,,,false,,2022-05-15T11:33,2022-05-15T11:57,,,,,2022-05-15T14:45,2022-05-15T15:07,Boeing 737-800,,,,,,,,ccf7d0df-0b69-4a53-99cd-dbaded9566b9,b57b4c86-4724-48f1-80be-d7de4036004a,4427d229-a1e2-4955-81fa-9b5c0f103f12,e1df7713-f20d-4a27-85ee-2894c27adc64,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-05-15,UAL,2392,BDA,EWR,,D4,C,C112,false,,2022-05-15T15:55,2022-05-15T16:36,,,,,2022-05-15T17:33,2022-05-15T18:36,Boeing 737-800,,,,,,,,a709f891-cd3b-4441-b70d-648d7fd082e9,b57b4c86-4724-48f1-80be-d7de4036004a,e1df7713-f20d-4a27-85ee-2894c27adc64,4427d229-a1e2-4955-81fa-9b5c0f103f12,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-05-16,UAL,1939,EWR,PBI,C,C86,,B6,false,,2022-05-16T09:13,2022-05-16T10:01,,,,,2022-05-16T12:22,2022-05-16T12:49,Airbus A320,,,,,,,,1108c786-92ed-4805-9266-eca5ed069e7a,b57b4c86-4724-48f1-80be-d7de4036004a,4427d229-a1e2-4955-81fa-9b5c0f103f12,38b50525-30c6-4ce6-8b84-0dbdc8248ea9,,dd390a1f-e92a-4411-ab72-04db16d42030
2022-05-16,UAL,2200,PBI,EWR,,B6,C,C72,false,,2022-05-16T13:27,2022-05-16T14:00,,,,,2022-05-16T16:30,2022-05-16T16:52,Airbus A320,,,,,,,,3f2fa669-0d52-471b-9852-df17792cdf59,b57b4c86-4724-48f1-80be-d7de4036004a,38b50525-30c6-4ce6-8b84-0dbdc8248ea9,4427d229-a1e2-4955-81fa-9b5c0f103f12,,dd390a1f-e92a-4411-ab72-04db16d42030
2022-05-23,UAL,2143,EWR,SJU,C,C108,B,C10,false,,2022-05-23T08:05,2022-05-23T08:06,,,,,2022-05-23T11:52,2022-05-23T11:56,Boeing 777-200 ER,,,,,,,,e8e84bfe-599e-44c0-9d3b-06978736a7da,b57b4c86-4724-48f1-80be-d7de4036004a,4427d229-a1e2-4955-81fa-9b5c0f103f12,1f1a1626-74d4-4ce1-b3db-9a365053202a,,a0f171e1-86df-426a-8922-e460c0660ae6
2022-05-25,UAL,1117,IAD,BNA,,D30,,A3,false,,2022-05-25T17:45,2022-05-25T18:06,,,,,2022-05-25T18:37,2022-05-25T18:55,Airbus A320,,,,,,,,126f9ba0-a312-4fc5-a392-5548e6105e8d,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,812e405f-26e2-44fb-83fc-db16918270b2,,dd390a1f-e92a-4411-ab72-04db16d42030
2022-05-25,UAL,1100,EWR,MIA,C,C81,,H14,false,,2022-05-25T19:15,2022-05-25T19:14,,,,,2022-05-25T22:33,2022-05-25T22:22,Airbus A320,,,,,,,,91c267b1-0625-4367-a145-77305ff59650,b57b4c86-4724-48f1-80be-d7de4036004a,4427d229-a1e2-4955-81fa-9b5c0f103f12,2a44ac82-ae36-48d1-87c0-e8cbb31ce45f,,dd390a1f-e92a-4411-ab72-04db16d42030
2022-05-26,UAL,2116,MIA,IAD,,H14,Main,D2,false,,2022-05-26T13:39,2022-05-26T13:31,,,,,2022-05-26T16:06,2022-05-26T16:01,Airbus A320,,,,,,,,35f9c471-a0b1-45b0-aae5-407aabf67593,b57b4c86-4724-48f1-80be-d7de4036004a,2a44ac82-ae36-48d1-87c0-e8cbb31ce45f,519696f5-bda6-457c-ae4c-dd1cb07e20de,,dd390a1f-e92a-4411-ab72-04db16d42030
2022-05-27,UAL,287,BNA,EWR,Main,A4,C,C72,false,,2022-05-27T11:20,2022-05-27T11:16,,,,,2022-05-27T14:30,2022-05-27T15:18,Airbus A319,,,,,,,,ec95bab7-3a01-467c-a72a-bdcf6d4769b9,b57b4c86-4724-48f1-80be-d7de4036004a,812e405f-26e2-44fb-83fc-db16918270b2,4427d229-a1e2-4955-81fa-9b5c0f103f12,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2022-06-01,UAL,793,EWR,DEN,C,C83,Main,B28,false,,2022-06-01T14:08,2022-06-01T14:02,,,,,2022-06-01T16:32,2022-06-01T16:06,Boeing 737-900ER,,,,,,,,625dd3ad-d74d-4178-a34a-4fc38c6fe177,b57b4c86-4724-48f1-80be-d7de4036004a,4427d229-a1e2-4955-81fa-9b5c0f103f12,d00b5728-0678-4689-b660-fe9e583203dc,,24012541-435d-4a27-af8a-4791336f1965
2022-06-01,UAL,437,DEN,SJC,Main,B15,A,14,false,,2022-06-01T19:12,2022-06-01T19:07,,,,,2022-06-01T20:50,2022-06-01T20:29,Boeing 737-800,,,,,,,,a6faa792-af14-43d2-8855-6a624cb38ffc,b57b4c86-4724-48f1-80be-d7de4036004a,d00b5728-0678-4689-b660-fe9e583203dc,cdf0ec10-09ce-4bec-a0d0-f3e7511baae7,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-06-02,UAL,2488,SJC,DEN,A,14,,B29,false,,2022-06-02T14:21,2022-06-02T14:13,,,,,2022-06-02T17:55,2022-06-02T17:38,Boeing 737-800,,,,,,,,bef4ec81-99eb-4003-9604-473609abd97f,b57b4c86-4724-48f1-80be-d7de4036004a,cdf0ec10-09ce-4bec-a0d0-f3e7511baae7,d00b5728-0678-4689-b660-fe9e583203dc,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-06-02,UAL,562,DEN,SNA,,B29,,9,false,,2022-06-02T19:19,2022-06-02T21:44,,,,,2022-06-02T20:47,2022-06-02T22:56,Boeing 737-800,,,,,,,,fa63332e-540f-494a-ac8e-cb082ac3b7ed,b57b4c86-4724-48f1-80be-d7de4036004a,d00b5728-0678-4689-b660-fe9e583203dc,1994cd57-1fbf-443e-b905-9eb6354ccf12,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-06-03,UAL,2233,SNA,EWR,,8,C,C134,false,,2022-06-03T12:04,2022-06-03T12:18,,,,,2022-06-03T20:30,2022-06-03T21:30,Boeing 737-700,,,,,,,,a9a3cf2e-c42b-4156-8963-6441e4d54f34,b57b4c86-4724-48f1-80be-d7de4036004a,1994cd57-1fbf-443e-b905-9eb6354ccf12,4427d229-a1e2-4955-81fa-9b5c0f103f12,,886c3a0c-c7a3-4205-982f-35cddc765ae1
